,age,total,men,women,administrative_unit_id,municipality_parent_id
0,0,1108,579,529,109,128
1,1,1143,592,551,109,128
2,2,1239,635,604,109,128
3,3,1388,714,674,109,128
4,4,1450,744,707,109,128
5,5,1641,836,804,109,128
6,6,1661,846,815,109,128
7,7,1549,797,752,109,128
8,8,1502,767,736,109,128
9,9,1561,814,747,109,128
10,10,1463,749,714,109,128
11,11,1489,768,721,109,128
12,12,1568,799,770,109,128
13,13,1518,776,742,109,128
14,14,1417,718,698,109,128
15,15,1327,679,648,109,128
16,16,1374,694,680,109,128
17,17,1378,713,665,109,128
18,18,1500,783,717,109,128
19,19,1631,887,744,109,128
20,20,1504,810,694,109,128
21,21,1510,807,702,109,128
22,22,1296,692,604,109,128
23,23,1265,656,609,109,128
24,24,1223,631,592,109,128
25,25,1281,644,636,109,128
26,26,1406,703,703,109,128
27,27,1517,766,751,109,128
28,28,1823,882,942,109,128
29,29,2208,999,1210,109,128
30,30,2397,1112,1285,109,128
31,31,2557,1173,1384,109,128
32,32,2630,1245,1385,109,128
33,33,2640,1384,1256,109,128
34,34,2656,1295,1360,109,128
35,35,2678,1304,1374,109,128
36,36,2627,1258,1369,109,128
37,37,2537,1247,1291,109,128
38,38,2566,1262,1304,109,128
39,39,2323,1141,1182,109,128
40,40,2195,1061,1134,109,128
41,41,2344,1155,1190,109,128
42,42,2143,1024,1118,109,128
43,43,2152,1024,1128,109,128
44,44,2098,974,1124,109,128
45,45,2051,980,1071,109,128
46,46,2078,962,1115,109,128
47,47,1968,928,1040,109,128
48,48,1948,907,1041,109,128
49,49,1967,916,1051,109,128
50,50,1812,836,976,109,128
51,51,1897,898,999,109,128
52,52,1676,782,894,109,128
53,53,1647,754,893,109,128
54,54,1588,715,873,109,128
55,55,1631,734,897,109,128
56,56,1736,771,965,109,128
57,57,1692,753,940,109,128
58,58,1793,779,1015,109,128
59,59,1823,785,1038,109,128
60,60,1899,802,1098,109,128
61,61,2036,853,1184,109,128
62,62,1857,746,1111,109,128
63,63,1765,690,1075,109,128
64,64,1793,707,1086,109,128
65,65,1748,682,1067,109,128
66,66,1671,608,1064,109,128
67,67,1751,642,1109,109,128
68,68,1620,584,1035,109,128
69,69,1609,564,1044,109,128
70,70,1499,503,996,109,128
71,71,1531,548,985,109,128
72,72,1503,504,999,109,128
73,73,1282,444,839,109,128
74,74,1274,425,850,109,128
75,75,1053,330,722,109,128
76,76,607,191,416,109,128
77,77,423,132,292,109,128
78,78,433,127,305,109,128
79,79,568,166,402,109,128
80,80,797,212,585,109,128
81,81,868,250,617,109,128
82,82,848,226,622,109,128
83,83,739,183,556,109,128
84,84,740,169,571,109,128
85,85,589,143,445,109,128
86,86,449,110,340,109,128
87,87,244,64,181,109,128
88,88,169,44,126,109,128
89,89,177,40,136,109,128
90,90,222,55,166,109,128
91,91,251,61,190,109,128
92,92,108,21,87,109,128
93,93,77,22,55,109,128
94,94,20,2,17,109,128
95,95,40,12,27,109,128
96,96,40,12,27,109,128
97,97,19,11,2,109,128
98,98,56,5,61,109,128
99,99,12,5,6,109,128
100,100,50,13,36,109,128
101,0,1399,731,668,110,128
102,1,1444,748,696,110,128
103,2,1565,802,763,110,128
104,3,1753,902,851,110,128
105,4,1832,939,893,110,128
106,5,2072,1056,1016,110,128
107,6,2098,1068,1030,110,128
108,7,1956,1007,949,110,128
109,8,1898,968,929,110,128
110,9,1971,1028,943,110,128
111,10,1847,946,901,110,128
112,11,1880,970,910,110,128
113,12,1981,1008,972,110,128
114,13,1917,980,937,110,128
115,14,1789,907,882,110,128
116,15,1676,857,819,110,128
117,16,1736,876,859,110,128
118,17,1741,901,840,110,128
119,18,1895,989,906,110,128
120,19,2060,1120,940,110,128
121,20,1900,1023,876,110,128
122,21,1907,1020,887,110,128
123,22,1637,874,763,110,128
124,23,1598,829,770,110,128
125,24,1545,797,748,110,128
126,25,1617,814,804,110,128
127,26,1775,887,888,110,128
128,27,1915,968,948,110,128
129,28,2303,1113,1189,110,128
130,29,2789,1261,1528,110,128
131,30,3027,1404,1623,110,128
132,31,3229,1481,1748,110,128
133,32,3322,1573,1749,110,128
134,33,3334,1748,1586,110,128
135,34,3354,1636,1718,110,128
136,35,3382,1647,1735,110,128
137,36,3318,1589,1729,110,128
138,37,3205,1574,1630,110,128
139,38,3241,1594,1647,110,128
140,39,2933,1441,1493,110,128
141,40,2773,1340,1433,110,128
142,41,2961,1458,1502,110,128
143,42,2706,1294,1412,110,128
144,43,2718,1293,1425,110,128
145,44,2649,1230,1419,110,128
146,45,2590,1238,1353,110,128
147,46,2624,1216,1408,110,128
148,47,2485,1172,1314,110,128
