,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
0,0,4144,2131,2013,4035,2074,1961,3843,1976,1867,3739,1922,1817,3608,1855,1753,3546,1823,1723,3562,1831,1731,3580,1841,1739,3607,1854,1753
1,1,4193,2159,2034,4163,2142,2021,4050,2083,1967,3854,1983,1871,3749,1928,1821,3615,1859,1756,3555,1828,1727,3570,1836,1734,3586,1844,1742
2,2,4350,2244,2106,4232,2181,2051,4193,2159,2034,4070,2095,1975,3871,1992,1879,3762,1935,1827,3628,1866,1762,3565,1834,1731,3580,1841,1739
3,3,4709,2471,2238,4417,2280,2137,4285,2210,2075,4233,2182,2051,4103,2114,1989,3895,2005,1890,3781,1946,1835,3644,1875,1769,3579,1841,1738
4,4,5216,2717,2499,4796,2516,2280,4489,2317,2172,4345,2242,2103,4284,2209,2075,4144,2136,2008,3927,2023,1904,3806,1960,1846,3664,1886,1778
5,5,5882,3029,2853,5293,2763,2530,4877,2560,2317,4561,2356,2205,4408,2276,2132,4340,2239,2101,4191,2161,2030,3964,2043,1921,3837,1976,1861
6,6,6086,3137,2949,5945,3075,2870,5360,2806,2554,4947,2601,2346,4628,2393,2235,4472,2311,2161,4401,2272,2129,4244,2189,2055,4009,2067,1942
7,7,5352,2831,2521,6156,3181,2975,6003,3116,2887,5416,2843,2573,5011,2639,2372,4689,2429,2260,4533,2345,2188,4459,2304,2155,4299,2219,2080
8,8,5384,2800,2584,5488,2901,2587,6234,3226,3008,6062,3154,2908,5469,2877,2592,5068,2674,2394,4744,2462,2282,4588,2377,2211,4516,2336,2180
9,9,5551,2864,2687,5525,2877,2648,5626,2972,2654,6317,3272,3045,6123,3191,2932,5524,2910,2614,5122,2706,2416,4795,2493,2302,4638,2408,2230
10,10,5248,2744,2504,5669,2932,2737,5657,2949,2708,5762,3043,2719,6404,3320,3084,6192,3230,2962,5580,2942,2638,5177,2738,2439,4844,2523,2321
11,11,5015,2601,2414,5340,2796,2544,5778,2995,2783,5778,3017,2761,5891,3112,2779,6489,3367,3122,6263,3270,2993,5640,2975,2665,5234,2769,2465
12,12,5173,2693,2480,5095,2646,2449,5433,2848,2585,5881,3054,2827,5891,3081,2810,6011,3176,2835,6573,3414,3159,6337,3311,3026,5703,3009,2694
13,13,5001,2579,2422,5261,2741,2520,5178,2692,2486,5526,2899,2627,5981,3111,2870,5996,3141,2855,6124,3237,2887,6653,3459,3194,6409,3352,3057
14,14,4838,2432,2406,5092,2629,2463,5347,2787,2560,5262,2738,2524,5621,2951,2670,6081,3167,2914,6099,3198,2901,6233,3295,2938,6731,3503,3228
15,15,4461,2261,2200,4910,2473,2437,5175,2674,2501,5431,2832,2599,5344,2781,2563,5714,3000,2714,6179,3220,2959,6200,3254,2946,6335,3349,2986
16,16,4215,2171,2044,4532,2302,2230,4982,2517,2465,5258,2720,2538,5510,2874,2636,5424,2824,2600,5805,3048,2757,6276,3273,3003,6299,3307,2992
17,17,4517,2327,2190,4317,2236,2081,4620,2358,2262,5067,2570,2497,5347,2771,2576,5595,2920,2675,5508,2869,2639,5897,3096,2801,6374,3325,3049
18,18,4212,2260,1952,4652,2424,2228,4447,2324,2123,4732,2433,2299,5177,2643,2534,5459,2839,2620,5695,2978,2717,5604,2924,2680,6001,3153,2848
19,19,4106,2209,1897,4397,2399,1998,4815,2547,2268,4606,2438,2168,4879,2537,2342,5324,2744,2580,5609,2935,2674,5829,3060,2769,5731,2999,2732
20,20,3920,2209,1711,4288,2361,1927,4588,2552,2036,4986,2688,2298,4785,2576,2209,5049,2664,2385,5502,2872,2630,5794,3058,2736,6003,3170,2833
21,21,4170,2393,1777,4055,2329,1726,4451,2505,1946,4768,2706,2062,5156,2839,2317,4965,2726,2239,5225,2807,2418,5693,3020,2673,6001,3204,2797
22,22,3943,2268,1675,4258,2482,1776,4174,2438,1736,4595,2639,1956,4931,2854,2077,5311,2989,2322,5141,2883,2258,5400,2961,2439,5885,3183,2702
23,23,3991,2299,1692,4035,2353,1682,4351,2571,1780,4287,2541,1746,4724,2762,1962,5074,2991,2083,5450,3132,2318,5302,3038,2264,5565,3118,2447
24,24,4350,2524,1826,4123,2406,1717,4147,2447,1700,4458,2666,1792,4402,2642,1760,4847,2878,1969,5205,3117,2088,5577,3267,2310,5451,3187,2264
25,25,4686,2818,1868,4479,2622,1857,4270,2516,1754,4277,2548,1729,4580,2767,1813,4527,2746,1781,4972,2992,1980,5333,3239,2094,5695,3395,2300
26,26,5659,3653,2006,4815,2884,1931,4616,2711,1905,4432,2624,1808,4423,2650,1773,4726,2875,1851,4667,2854,1813,5108,3107,2001,5467,3360,2107
27,27,5404,3188,2216,5743,3658,2085,4943,2937,2006,4756,2788,1968,4598,2722,1876,4583,2750,1833,4885,2980,1905,4824,2962,1862,5258,3221,2037
