,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
0,0,4664,2398,2266,4653,2392,2261,4608,2369,2239,4609,2369,2240,4581,2355,2226,4547,2337,2210,4522,2324,2198,4527,2327,2200,4546,2336,2210
1,1,4716,2428,2288,4675,2405,2270,4661,2397,2264,4615,2373,2242,4615,2372,2243,4587,2358,2229,4552,2340,2212,4527,2326,2201,4533,2330,2203
2,2,4764,2462,2302,4744,2447,2297,4697,2420,2277,4677,2407,2270,4627,2380,2247,4626,2379,2247,4595,2362,2233,4561,2344,2217,4535,2330,2205
3,3,4905,2554,2351,4814,2498,2316,4786,2476,2310,4730,2442,2288,4703,2424,2279,4647,2393,2254,4642,2389,2253,4609,2370,2239,4572,2350,2222
4,4,5123,2719,2404,4968,2600,2368,4874,2541,2333,4837,2512,2325,4772,2471,2301,4737,2447,2290,4675,2411,2264,4666,2403,2263,4628,2382,2246
5,5,5753,3028,2725,5188,2770,2418,5033,2649,2384,4936,2587,2349,4897,2555,2342,4827,2509,2318,4782,2478,2304,4713,2436,2277,4695,2422,2273
6,6,6024,3156,2868,5825,3089,2736,5251,2820,2431,5097,2698,2399,5002,2636,2366,4960,2601,2359,4885,2550,2335,4836,2516,2320,4759,2468,2291
7,7,5364,2882,2482,6115,3228,2887,5901,3152,2749,5320,2874,2446,5165,2750,2415,5071,2687,2384,5027,2651,2376,4949,2597,2352,4897,2558,2339
8,8,5423,2896,2527,5522,2987,2535,6225,3311,2914,5994,3224,2770,5399,2933,2466,5239,2806,2433,5141,2740,2401,5097,2703,2394,5018,2647,2371
9,9,5638,3017,2621,5602,3017,2585,5698,3103,2595,6354,3406,2948,6102,3305,2797,5488,2999,2489,5319,2865,2454,5219,2798,2421,5173,2758,2415
10,10,5340,2877,2463,5806,3129,2677,5782,3136,2646,5881,3223,2658,6497,3508,2989,6226,3395,2831,5590,3071,2519,5411,2931,2480,5304,2860,2444
11,11,5165,2728,2437,5465,2957,2508,5963,3231,2732,5957,3250,2707,6067,3342,2725,6648,3614,3034,6366,3493,2873,5705,3151,2554,5513,3003,2510
12,12,5189,2742,2447,5257,2790,2467,5585,3033,2552,6110,3325,2785,6123,3355,2768,6246,3454,2792,6804,3720,3084,6513,3593,2920,5831,3235,2596
