,age,total,men,women,municipality_id,admin_unit_parent_id
0,0,1910,967,943,128,
1,1,2046,1057,989,128,
2,2,2152,1131,1021,128,
3,3,2504,1318,1186,128,
4,4,2627,1347,1280,128,
5,5,3125,1589,1536,128,
6,6,3236,1670,1566,128,
7,7,2970,1515,1455,128,
8,8,2749,1397,1352,128,
9,9,2811,1421,1390,128,
10,10,2674,1392,1282,128,
11,11,2680,1451,1229,128,
12,12,2538,1329,1209,128,
13,13,2510,1305,1205,128,
14,14,2391,1248,1143,128,
15,15,2234,1128,1106,128,
16,16,2387,1249,1138,128,
17,17,2557,1249,1308,128,
18,18,2745,1335,1410,128,
19,19,2695,1341,1354,128,
20,20,2346,1218,1128,128,
21,21,2134,1078,1056,128,
22,22,1964,984,980,128,
23,23,2101,1064,1037,128,
24,24,2070,961,1109,128,
25,25,2020,1007,1013,128,
26,26,2271,1098,1173,128,
27,27,2425,1151,1274,128,
28,28,2438,1127,1311,128,
29,29,3261,1458,1803,128,
30,30,3432,1412,2020,128,
31,31,3900,1679,2221,128,
32,32,4233,1870,2363,128,
33,33,4310,2039,2271,128,
34,34,4606,2101,2505,128,
35,35,4403,2110,2293,128,
36,36,4157,1946,2211,128,
37,37,4195,2024,2171,128,
38,38,4060,1944,2116,128,
39,39,3922,1872,2050,128,
40,40,3519,1709,1810,128,
41,41,3634,1727,1907,128,
42,42,3402,1576,1826,128,
43,43,3199,1446,1753,128,
44,44,3042,1362,1680,128,
45,45,3122,1476,1646,128,
46,46,3056,1371,1685,128,
47,47,3005,1380,1625,128,
48,48,2718,1236,1482,128,
49,49,2775,1267,1508,128,
50,50,2770,1251,1519,128,
51,51,2705,1203,1502,128,
52,52,2474,1027,1447,128,
53,53,2376,1057,1319,128,
54,54,2487,1048,1439,128,
55,55,2566,1051,1515,128,
56,56,2587,1033,1554,128,
57,57,2559,1029,1530,128,
58,58,2659,1057,1602,128,
59,59,2937,1106,1831,128,
60,60,3116,1235,1881,128,
61,61,3064,1201,1863,128,
62,62,3063,1099,1964,128,
63,63,3078,1086,1992,128,
64,64,2993,1019,1974,128,
65,65,2920,1008,1912,128,
66,66,2827,945,1882,128,
67,67,2847,956,1891,128,
68,68,2604,849,1755,128,
69,69,2453,819,1634,128,
70,70,2193,1597,614,128,
71,71,2241,1737,607,128,
72,72,2199,1600,616,128,
73,73,1876,1408,517,128,
74,74,1865,1348,524,128,
75,75,1540,1047,445,128,
76,76,888,606,256,128,
77,77,620,418,180,128,
78,78,633,404,188,128,
79,79,832,527,248,128,
80,80,1033,852,196,128,
81,81,1124,1007,207,128,
82,82,1099,908,209,128,
83,83,958,736,186,128,
84,84,958,680,191,128,
85,85,608,503,100,128,
86,86,464,385,76,128,
87,87,252,223,41,128,
88,88,175,153,28,128,
89,89,183,142,31,128,
90,90,195,181,22,128,
91,91,222,201,25,128,
92,92,95,68,11,128,
93,93,68,73,7,128,
94,94,18,8,2,128,
95,95,36,34,4,128,
96,96,35,34,4,128,
97,97,17,31,0,128,
98,98,49,15,10,128,
99,99,11,14,1,128,
100,100,30,28,2,128,
