age,total,men,women,administrative_unit_id,year
0,4406,279.0,260.0,85,2022
1,4720,302.0,276.0,85,2022
2,4999,311.0,300.0,85,2022
3,5246,332.0,310.0,85,2022
4,5868,372.0,346.0,85,2022
5,6494,407.0,388.0,85,2022
6,6957,432.0,419.0,85,2022
7,6410,413.0,371.0,85,2022
8,6482,414.0,379.0,85,2022
9,6485,408.0,385.0,85,2022
10,6179,396.0,360.0,85,2022
11,6022,378.0,359.0,85,2022
12,6083,381.0,363.0,85,2022
13,5845,368.0,347.0,85,2022
14,5652,349.0,343.0,85,2022
15,5263,321.0,323.0,85,2022
16,4967,309.0,299.0,85,2022
17,5269,327.0,318.0,85,2022
18,4868,315.0,280.0,85,2022
19,4771,310.0,273.0,85,2022
20,4456,301.0,244.0,85,2022
21,4674,323.0,249.0,85,2022
22,4291,296.0,229.0,85,2022
23,4168,278.0,232.0,85,2022
24,4823,325.0,265.0,85,2022
25,5318,378.0,273.0,85,2022
26,6569,508.0,296.0,85,2022
27,6325,442.0,332.0,85,2022
28,6137,418.0,332.0,85,2022
29,6907,442.0,403.0,85,2022
30,7866,507.0,455.0,85,2022
31,8457,546.0,488.0,85,2022
32,9197,554.0,572.0,85,2022
33,9951,606.0,611.0,85,2022
34,10453,639.0,640.0,85,2022
35,10714,644.0,667.0,85,2022
36,10363,620.0,648.0,85,2022
37,10367,629.0,639.0,85,2022
38,10505,635.0,650.0,85,2022
39,9590,589.0,584.0,85,2022
40,9021,555.0,548.0,85,2022
41,9140,561.0,557.0,85,2022
42,8488,515.0,524.0,85,2022
43,8306,500.0,516.0,85,2022
44,7781,461.0,490.0,85,2022
45,7564,448.0,477.0,85,2022
46,7683,460.0,480.0,85,2022
47,7375,450.0,453.0,85,2022
48,6927,416.0,431.0,85,2022
49,6854,416.0,422.0,85,2022
50,6576,396.0,409.0,85,2022
51,6259,380.0,386.0,85,2022
52,5918,342.0,382.0,85,2022
53,5797,340.0,369.0,85,2022
54,5594,324.0,361.0,85,2022
55,5586,325.0,358.0,85,2022
56,5658,317.0,376.0,85,2022
57,5877,327.0,392.0,85,2022
58,6176,342.0,413.0,85,2022
59,6428,340.0,446.0,85,2022
60,6612,351.0,458.0,85,2022
61,6719,334.0,488.0,85,2022
62,6596,342.0,465.0,85,2022
63,6578,330.0,474.0,85,2022
64,6396,318.0,464.0,85,2022
65,6090,296.0,449.0,85,2022
66,6041,281.0,458.0,85,2022
67,6484,314.0,479.0,85,2022
68,5737,263.0,439.0,85,2022
69,5800,265.0,445.0,85,2022
70,5457,247.0,421.0,85,2022
71,5209,232.0,406.0,85,2022
72,5407,232.0,430.0,85,2022
73,4342,183.0,348.0,85,2022
74,4174,176.0,335.0,85,2022
75,3698,154.0,299.0,85,2022
76,2157,81.0,183.0,85,2022
77,1882,71.0,160.0,85,2022
78,1592,65.0,130.0,85,2022
79,2110,84.0,174.0,85,2022
80,2811,103.0,241.0,85,2022
81,2632,94.0,228.0,85,2022
82,2707,97.0,234.0,85,2022
83,2365,84.0,206.0,85,2022
84,2458,79.0,222.0,85,2022
85,1490,47.0,135.0,85,2022
86,1091,34.0,100.0,85,2022
87,780,22.0,73.0,85,2022
88,561,16.0,53.0,85,2022
90,487,15.0,44.0,85,2022
91,474,13.0,45.0,85,2022
92,375,12.0,34.0,85,2022
93,305,10.0,28.0,85,2022
94,230,8.0,20.0,85,2022
95,184,4.0,18.0,85,2022
96,100,2.0,10.0,85,2022
97,69,1.0,7.0,85,2022
98,27,1.0,2.0,85,2022
99,13,1.0,1.0,85,2022
100,21,1.0,2.0,85,2022
0,4406,599.0,559.0,86,2022
1,4720,649.0,592.0,86,2022
2,4999,669.0,646.0,86,2022
3,5246,713.0,667.0,86,2022
4,5868,799.0,744.0,86,2022
5,6494,875.0,833.0,86,2022
6,6957,930.0,900.0,86,2022
7,6410,887.0,798.0,86,2022
8,6482,889.0,815.0,86,2022
9,6485,878.0,828.0,86,2022
10,6179,852.0,773.0,86,2022
11,6022,813.0,771.0,86,2022
12,6083,819.0,781.0,86,2022
13,5845,791.0,746.0,86,2022
14,5652,750.0,736.0,86,2022
15,5263,691.0,693.0,86,2022
16,4967,663.0,643.0,86,2022
17,5269,702.0,683.0,86,2022
18,4868,677.0,603.0,86,2022
19,4771,667.0,587.0,86,2022
20,4456,647.0,525.0,86,2022
21,4674,694.0,535.0,86,2022
22,4291,637.0,492.0,86,2022
23,4168,598.0,498.0,86,2022
24,4823,699.0,570.0,86,2022
25,5318,813.0,586.0,86,2022
26,6569,1092.0,636.0,86,2022
27,6325,950.0,713.0,86,2022
28,6137,900.0,714.0,86,2022
29,6907,950.0,867.0,86,2022
30,7866,1090.0,979.0,86,2022
31,8457,1175.0,1049.0,86,2022
32,9197,1190.0,1229.0,86,2022
33,9951,1304.0,1313.0,86,2022
34,10453,1374.0,1375.0,86,2022
35,10714,1384.0,1433.0,86,2022
36,10363,1332.0,1393.0,86,2022
37,10367,1352.0,1374.0,86,2022
38,10505,1366.0,1397.0,86,2022
39,9590,1267.0,1255.0,86,2022
40,9021,1194.0,1179.0,86,2022
41,9140,1205.0,1198.0,86,2022
42,8488,1106.0,1126.0,86,2022
43,8306,1076.0,1109.0,86,2022
44,7781,992.0,1054.0,86,2022
45,7564,964.0,1025.0,86,2022
46,7683,990.0,1031.0,86,2022
47,7375,966.0,973.0,86,2022
48,6927,895.0,927.0,86,2022
49,6854,895.0,908.0,86,2022
50,6576,850.0,879.0,86,2022
51,6259,816.0,830.0,86,2022
52,5918,734.0,822.0,86,2022
53,5797,732.0,793.0,86,2022
54,5594,696.0,775.0,86,2022
55,5586,699.0,770.0,86,2022
56,5658,681.0,807.0,86,2022
57,5877,703.0,842.0,86,2022
58,6176,735.0,889.0,86,2022
59,6428,731.0,960.0,86,2022
60,6612,754.0,985.0,86,2022
61,6719,718.0,1049.0,86,2022
62,6596,735.0,999.0,86,2022
63,6578,710.0,1020.0,86,2022
64,6396,685.0,997.0,86,2022
65,6090,636.0,966.0,86,2022
66,6041,605.0,984.0,86,2022
67,6484,676.0,1029.0,86,2022
68,5737,566.0,943.0,86,2022
69,5800,569.0,956.0,86,2022
70,5457,530.0,905.0,86,2022
71,5209,498.0,872.0,86,2022
72,5407,498.0,924.0,86,2022
73,4342,393.0,748.0,86,2022
74,4174,377.0,720.0,86,2022
75,3698,331.0,642.0,86,2022
76,2157,174.0,393.0,86,2022
77,1882,152.0,343.0,86,2022
78,1592,140.0,279.0,86,2022
79,2110,180.0,375.0,86,2022
80,2811,221.0,518.0,86,2022
