,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
0,0.0,4144.0,2131.0,2013.0,4035.0,2074.0,1961.0,3843.0,1976.0,1867.0,3739.0,1922.0,1817.0,3608.0,1855.0,1753.0,3546.0,1823.0,1723.0,3562.0,1831.0,1731.0,3580.0,1841.0,1739.0,3607.0,1854.0,1753.0
1,1.0,4193.0,2159.0,2034.0,4163.0,2142.0,2021.0,4050.0,2083.0,1967.0,3854.0,1983.0,1871.0,3749.0,1928.0,1821.0,3615.0,1859.0,1756.0,3555.0,1828.0,1727.0,3570.0,1836.0,1734.0,3586.0,1844.0,1742.0
2,2.0,4350.0,2244.0,2106.0,4232.0,2181.0,2051.0,4193.0,2159.0,2034.0,4070.0,2095.0,1975.0,3871.0,1992.0,1879.0,3762.0,1935.0,1827.0,3628.0,1866.0,1762.0,3565.0,1834.0,1731.0,3580.0,1841.0,1739.0
3,3.0,4709.0,2471.0,2238.0,4417.0,2280.0,2137.0,4285.0,2210.0,2075.0,4233.0,2182.0,2051.0,4103.0,2114.0,1989.0,3895.0,2005.0,1890.0,3781.0,1946.0,1835.0,3644.0,1875.0,1769.0,3579.0,1841.0,1738.0
4,4.0,5216.0,2717.0,2499.0,4796.0,2516.0,2280.0,4489.0,2317.0,2172.0,4345.0,2242.0,2103.0,4284.0,2209.0,2075.0,4144.0,2136.0,2008.0,3927.0,2023.0,1904.0,3806.0,1960.0,1846.0,3664.0,1886.0,1778.0
5,5.0,5882.0,3029.0,2853.0,5293.0,2763.0,2530.0,4877.0,2560.0,2317.0,4561.0,2356.0,2205.0,4408.0,2276.0,2132.0,4340.0,2239.0,2101.0,4191.0,2161.0,2030.0,3964.0,2043.0,1921.0,3837.0,1976.0,1861.0
6,6.0,6086.0,3137.0,2949.0,5945.0,3075.0,2870.0,5360.0,2806.0,2554.0,4947.0,2601.0,2346.0,4628.0,2393.0,2235.0,4472.0,2311.0,2161.0,4401.0,2272.0,2129.0,4244.0,2189.0,2055.0,4009.0,2067.0,1942.0
7,7.0,5352.0,2831.0,2521.0,6156.0,3181.0,2975.0,6003.0,3116.0,2887.0,5416.0,2843.0,2573.0,5011.0,2639.0,2372.0,4689.0,2429.0,2260.0,4533.0,2345.0,2188.0,4459.0,2304.0,2155.0,4299.0,2219.0,2080.0
8,8.0,5384.0,2800.0,2584.0,5488.0,2901.0,2587.0,6234.0,3226.0,3008.0,6062.0,3154.0,2908.0,5469.0,2877.0,2592.0,5068.0,2674.0,2394.0,4744.0,2462.0,2282.0,4588.0,2377.0,2211.0,4516.0,2336.0,2180.0
9,9.0,5551.0,2864.0,2687.0,5525.0,2877.0,2648.0,5626.0,2972.0,2654.0,6317.0,3272.0,3045.0,6123.0,3191.0,2932.0,5524.0,2910.0,2614.0,5122.0,2706.0,2416.0,4795.0,2493.0,2302.0,4638.0,2408.0,2230.0
10,10.0,5248.0,2744.0,2504.0,5669.0,2932.0,2737.0,5657.0,2949.0,2708.0,5762.0,3043.0,2719.0,6404.0,3320.0,3084.0,6192.0,3230.0,2962.0,5580.0,2942.0,2638.0,5177.0,2738.0,2439.0,4844.0,2523.0,2321.0
11,11.0,5015.0,2601.0,2414.0,5340.0,2796.0,2544.0,5778.0,2995.0,2783.0,5778.0,3017.0,2761.0,5891.0,3112.0,2779.0,6489.0,3367.0,3122.0,6263.0,3270.0,2993.0,5640.0,2975.0,2665.0,5234.0,2769.0,2465.0
12,12.0,5173.0,2693.0,2480.0,5095.0,2646.0,2449.0,5433.0,2848.0,2585.0,5881.0,3054.0,2827.0,5891.0,3081.0,2810.0,6011.0,3176.0,2835.0,6573.0,3414.0,3159.0,6337.0,3311.0,3026.0,5703.0,3009.0,2694.0
13,13.0,5001.0,2579.0,2422.0,5261.0,2741.0,2520.0,5178.0,2692.0,2486.0,5526.0,2899.0,2627.0,5981.0,3111.0,2870.0,5996.0,3141.0,2855.0,6124.0,3237.0,2887.0,6653.0,3459.0,3194.0,6409.0,3352.0,3057.0
14,14.0,4838.0,2432.0,2406.0,5092.0,2629.0,2463.0,5347.0,2787.0,2560.0,5262.0,2738.0,2524.0,5621.0,2951.0,2670.0,6081.0,3167.0,2914.0,6099.0,3198.0,2901.0,6233.0,3295.0,2938.0,6731.0,3503.0,3228.0
15,15.0,4461.0,2261.0,2200.0,4910.0,2473.0,2437.0,5175.0,2674.0,2501.0,5431.0,2832.0,2599.0,5344.0,2781.0,2563.0,5714.0,3000.0,2714.0,6179.0,3220.0,2959.0,6200.0,3254.0,2946.0,6335.0,3349.0,2986.0
16,16.0,4215.0,2171.0,2044.0,4532.0,2302.0,2230.0,4982.0,2517.0,2465.0,5258.0,2720.0,2538.0,5510.0,2874.0,2636.0,5424.0,2824.0,2600.0,5805.0,3048.0,2757.0,6276.0,3273.0,3003.0,6299.0,3307.0,2992.0
17,17.0,4517.0,2327.0,2190.0,4317.0,2236.0,2081.0,4620.0,2358.0,2262.0,5067.0,2570.0,2497.0,5347.0,2771.0,2576.0,5595.0,2920.0,2675.0,5508.0,2869.0,2639.0,5897.0,3096.0,2801.0,6374.0,3325.0,3049.0
18,18.0,4212.0,2260.0,1952.0,4652.0,2424.0,2228.0,4447.0,2324.0,2123.0,4732.0,2433.0,2299.0,5177.0,2643.0,2534.0,5459.0,2839.0,2620.0,5695.0,2978.0,2717.0,5604.0,2924.0,2680.0,6001.0,3153.0,2848.0
19,19.0,4106.0,2209.0,1897.0,4397.0,2399.0,1998.0,4815.0,2547.0,2268.0,4606.0,2438.0,2168.0,4879.0,2537.0,2342.0,5324.0,2744.0,2580.0,5609.0,2935.0,2674.0,5829.0,3060.0,2769.0,5731.0,2999.0,2732.0
20,20.0,3920.0,2209.0,1711.0,4288.0,2361.0,1927.0,4588.0,2552.0,2036.0,4986.0,2688.0,2298.0,4785.0,2576.0,2209.0,5049.0,2664.0,2385.0,5502.0,2872.0,2630.0,5794.0,3058.0,2736.0,6003.0,3170.0,2833.0
21,21.0,4170.0,2393.0,1777.0,4055.0,2329.0,1726.0,4451.0,2505.0,1946.0,4768.0,2706.0,2062.0,5156.0,2839.0,2317.0,4965.0,2726.0,2239.0,5225.0,2807.0,2418.0,5693.0,3020.0,2673.0,6001.0,3204.0,2797.0
22,22.0,3943.0,2268.0,1675.0,4258.0,2482.0,1776.0,4174.0,2438.0,1736.0,4595.0,2639.0,1956.0,4931.0,2854.0,2077.0,5311.0,2989.0,2322.0,5141.0,2883.0,2258.0,5400.0,2961.0,2439.0,5885.0,3183.0,2702.0
23,23.0,3991.0,2299.0,1692.0,4035.0,2353.0,1682.0,4351.0,2571.0,1780.0,4287.0,2541.0,1746.0,4724.0,2762.0,1962.0,5074.0,2991.0,2083.0,5450.0,3132.0,2318.0,5302.0,3038.0,2264.0,5565.0,3118.0,2447.0
24,24.0,4350.0,2524.0,1826.0,4123.0,2406.0,1717.0,4147.0,2447.0,1700.0,4458.0,2666.0,1792.0,4402.0,2642.0,1760.0,4847.0,2878.0,1969.0,5205.0,3117.0,2088.0,5577.0,3267.0,2310.0,5451.0,3187.0,2264.0
25,25.0,4686.0,2818.0,1868.0,4479.0,2622.0,1857.0,4270.0,2516.0,1754.0,4277.0,2548.0,1729.0,4580.0,2767.0,1813.0,4527.0,2746.0,1781.0,4972.0,2992.0,1980.0,5333.0,3239.0,2094.0,5695.0,3395.0,2300.0
26,26.0,5659.0,3653.0,2006.0,4815.0,2884.0,1931.0,4616.0,2711.0,1905.0,4432.0,2624.0,1808.0,4423.0,2650.0,1773.0,4726.0,2875.0,1851.0,4667.0,2854.0,1813.0,5108.0,3107.0,2001.0,5467.0,3360.0,2107.0
27,27.0,5404.0,3188.0,2216.0,5743.0,3658.0,2085.0,4943.0,2937.0,2006.0,4756.0,2788.0,1968.0,4598.0,2722.0,1876.0,4583.0,2750.0,1833.0,4885.0,2980.0,1905.0,4824.0,2962.0,1862.0,5258.0,3221.0,2037.0
28,28.0,5259.0,3026.0,2233.0,5515.0,3226.0,2289.0,5823.0,3660.0,2163.0,5063.0,2980.0,2083.0,4891.0,2853.0,2038.0,4763.0,2808.0,1955.0,4748.0,2840.0,1908.0,5054.0,3078.0,1976.0,4992.0,3064.0,1928.0
29,29.0,5758.0,3133.0,2625.0,5371.0,3074.0,2297.0,5614.0,3259.0,2355.0,5894.0,3658.0,2236.0,5171.0,3014.0,2157.0,5017.0,2906.0,2111.0,4920.0,2880.0,2040.0,4910.0,2918.0,1992.0,5229.0,3165.0,2064.0
30,30.0,6692.0,3634.0,3058.0,5876.0,3189.0,2687.0,5474.0,3116.0,2358.0,5703.0,3288.0,2415.0,5957.0,3655.0,2302.0,5268.0,3042.0,2226.0,5129.0,2949.0,2180.0,5063.0,2940.0,2123.0,5061.0,2983.0,2078.0
31,31.0,7194.0,3797.0,3397.0,6817.0,3680.0,3137.0,5990.0,3239.0,2751.0,5571.0,3153.0,2418.0,5785.0,3312.0,2473.0,6013.0,3650.0,2363.0,5352.0,3064.0,2288.0,5226.0,2984.0,2242.0,5187.0,2989.0,2198.0
32,32.0,7716.0,3865.0,3851.0,7375.0,3868.0,3507.0,6946.0,3725.0,3221.0,6107.0,3285.0,2822.0,5666.0,3186.0,2480.0,5863.0,3333.0,2530.0,6063.0,3643.0,2420.0,5427.0,3082.0,2345.0,5309.0,3011.0,2298.0
33,33.0,8431.0,4184.0,4247.0,7909.0,3947.0,3962.0,7560.0,3939.0,3621.0,7082.0,3772.0,3310.0,6228.0,3330.0,2898.0,5762.0,3217.0,2545.0,5939.0,3351.0,2588.0,6112.0,3636.0,2476.0,5495.0,3096.0,2399.0
