,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
0,0,4688,2409,2279,4577,2352,2225,4455,2289,2166,4332,2226,2106,4231,2175,2056,4138,2127,2011,4056,2084,1972,3999,2055,1944,3957,2034,1923
1,1,4782,2457,2325,4690,2410,2280,4578,2352,2226,4455,2289,2166,4332,2226,2106,4232,2175,2057,4138,2127,2011,4056,2084,1972,3999,2055,1944
2,2,4868,2499,2369,4790,2460,2330,4693,2411,2282,4580,2353,2227,4458,2290,2168,4334,2227,2107,4233,2175,2058,4139,2127,2012,4057,2084,1973
3,3,5114,2625,2489,4883,2507,2376,4796,2463,2333,4700,2414,2286,4586,2356,2230,4462,2292,2170,4337,2228,2109,4236,2176,2060,4143,2129,2014
4,4,5113,2626,2487,5135,2637,2498,4893,2513,2380,4806,2469,2337,4707,2418,2289,4591,2358,2233,4467,2295,2172,4342,2230,2112,4239,2178,2061
5,5,5746,2950,2796,5139,2642,2497,5150,2647,2503,4905,2520,2385,4816,2474,2342,4715,2422,2293,4598,2362,2236,4472,2297,2175,4346,2232,2114
6,6,6083,3107,2976,5780,2969,2811,5156,2652,2504,5164,2656,2508,4918,2529,2389,4827,2481,2346,4724,2427,2297,4606,2366,2240,4479,2300,2179
7,7,5447,2839,2608,6128,3130,2998,5804,2983,2821,5177,2664,2513,5180,2666,2514,4931,2537,2394,4836,2487,2349,4734,2433,2301,4614,2371,2243
8,8,5485,2824,2661,5525,2876,2649,6165,3149,3016,5834,2998,2836,5201,2677,2524,5198,2676,2522,4945,2545,2400,4846,2493,2353,4742,2438,2304
9,9,5676,2919,2757,5568,2866,2702,5594,2910,2684,6206,3170,3036,5870,3017,2853,5228,2691,2537,5221,2688,2533,4960,2554,2406,4859,2501,2358
10,10,5365,2765,2600,5758,2963,2795,5639,2903,2736,5663,2944,2719,6253,3194,3059,5909,3037,2872,5260,2708,2552,5245,2701,2544,4978,2564,2414
11,11,5213,2675,2538,5431,2800,2631,5821,2996,2825,5708,2939,2769,5735,2981,2754,6302,3220,3082,5955,3061,2894,5296,2726,2570,5275,2716,2559
12,12,5343,2772,2571,5259,2699,2560,5479,2825,2654,5878,3026,2852,5773,2973,2800,5805,3016,2789,6353,3247,3106,6002,3086,2916,5336,2747,2589
13,13,5101,2597,2504,5387,2795,2592,5293,2717,2576,5525,2849,2676,5933,3054,2879,5835,3005,2830,5871,3050,2821,6403,3274,3129,6052,3112,2940
14,14,4905,2468,2437,5150,2625,2525,5420,2814,2606,5326,2735,2591,5567,2871,2696,5983,3081,2902,5892,3035,2857,5935,3082,2853,6452,3300,3152
15,15,4500,2279,2221,4945,2490,2455,5187,2646,2541,5452,2831,2621,5358,2753,2605,5606,2893,2713,6031,3107,2924,5946,3064,2882,5996,3114,2882
16,16,4314,2200,2114,4541,2300,2241,4977,2507,2470,5223,2665,2558,5483,2847,2636,5389,2770,2619,5647,2915,2732,6076,3131,2945,5999,3092,2907
17,17,4598,2331,2267,4379,2237,2142,4583,2324,2259,5017,2530,2487,5265,2688,2577,5519,2865,2654,5423,2788,2635,5688,2937,2751,6122,3156,2966
18,18,4320,2252,2068,4714,2400,2314,4464,2287,2177,4651,2363,2288,5080,2565,2515,5326,2721,2605,5568,2891,2677,5467,2811,2656,5737,2963,2774
19,19,4303,2240,2063,4499,2355,2144,4849,2479,2370,4585,2355,2230,4755,2420,2335,5179,2619,2560,5419,2769,2650,5646,2930,2716,5535,2845,2690
20,20,4386,2356,2030,4495,2356,2139,4671,2456,2215,5003,2570,2433,4731,2437,2294,4889,2492,2397,5314,2688,2626,5555,2836,2719,5767,2985,2782
21,21,4759,2596,2163,4544,2460,2084,4657,2460,2197,4844,2564,2280,5160,2669,2491,4884,2529,2355,5028,2572,2456,5460,2769,2691,5711,2919,2792
22,22,4622,2553,2069,4863,2677,2186,4658,2543,2115,4808,2563,2245,5010,2673,2337,5314,2773,2541,5036,2627,2409,5163,2657,2506,5601,2854,2747
23,23,4500,2506,1994,4668,2602,2066,4923,2735,2188,4749,2616,2133,4939,2658,2281,5166,2780,2386,5463,2880,2583,5188,2730,2458,5297,2745,2552
24,24,4522,2569,1953,4525,2535,1990,4686,2631,2055,4961,2779,2182,4819,2678,2141,5048,2743,2305,5304,2881,2423,5606,2987,2619,5341,2837,2504
25,25,4676,2735,1941,4533,2576,1957,4533,2549,1984,4694,2651,2043,4984,2812,2172,4868,2727,2141,5135,2815,2320,5423,2974,2449,5736,3089,2647
26,26,5560,3527,2033,4695,2731,1964,4540,2577,1963,4544,2558,1986,4700,2664,2036,4997,2834,2163,4903,2764,2139,5201,2875,2326,5519,3053,2466
27,27,5399,3166,2233,5579,3513,2066,4714,2728,1986,4556,2580,1976,4562,2567,1995,4709,2673,2036,5008,2849,2159,4928,2791,2137,5250,2922,2328
28,28,5387,3133,2254,5455,3188,2267,5595,3500,2095,4743,2731,2012,4582,2588,1994,4588,2578,2010,4723,2680,2043,5021,2860,2161,4950,2812,2138
29,29,5990,3286,2704,5451,3160,2291,5498,3202,2296,5618,3494,2124,4779,2740,2039,4614,2599,2015,4619,2590,2029,4742,2688,2054,5035,2868,2167
30,30,7009,3820,3189,6063,3319,2744,5501,3178,2323,5543,3217,2326,5646,3491,2155,4817,2751,2066,4649,2612,2037,4655,2605,2050,4765,2697,2068
31,31,7542,4009,3533,7090,3854,3236,6119,3341,2778,5548,3194,2354,5585,3229,2356,5674,3490,2184,4856,2762,2094,4686,2627,2059,4691,2620,2071
32,32,8120,4131,3989,7653,4059,3594,7152,3877,3275,6176,3363,2813,5595,3209,2386,5626,3241,2385,5702,3489,2213,4896,2775,2121,4724,2642,2082
33,33,8799,4471,4328,8230,4184,4046,7745,4098,3647,7215,3900,3315,6231,3383,2848,5640,3222,2418,5666,3251,2415,5729,3487,2242,4933,2786,2147
34,34,9266,4664,4602,8915,4527,4388,8314,4224,4090,7835,4136,3699,7280,3924,3356,6289,3404,2885,5686,3236,2450,5705,3261,2444,5757,3486,2271
35,35,9495,4751,4744,9378,4719,4659,8998,4566,4432,8395,4262,4133,7925,4175,3750,7343,3947,3396,6346,3425,2921,5731,3249,2482,5745,3270,2475
36,36,9146,4542,4604,9586,4793,4793,9453,4754,4699,9075,4600,4475,8473,4298,4175,8012,4211,3801,7408,3971,3437,6404,3445,2959,5778,3263,2515
37,37,9113,4590,4523,9234,4580,4654,9643,4816,4827,9523,4785,4738,9145,4630,4515,8545,4330,4215,8095,4245,3850,7469,3993,3476,6459,3465,2994
38,38,9271,4629,4642,9189,4618,4571,9290,4601,4689,9697,4837,4860,9587,4812,4775,9210,4657,4553,8612,4359,4253,8173,4276,3897,7527,4013,3514
39,39,8515,4256,4259,9339,4651,4688,9232,4628,4604,9340,4617,4723,9746,4854,4892,9644,4834,4810,9268,4679,4589,8674,4384,4290,8246,4305,3941
40,40,8076,4011,4065,8562,4265,4297,9367,4651,4716,9263,4630,4633,9383,4628,4755,9786,4865,4921,9696,4853,4843,9320,4697,4623,8730,4405,4325
41,41,8186,4057,4129,8099,4009,4090,8570,4254,4316,9380,4642,4738,9282,4625,4657,9412,4631,4781,9817,4870,4947,9738,4865,4873,9364,4710,4654
42,42,7451,3696,3755,8205,4053,4152,8091,3990,4101,8564,4235,4329,9375,4624,4751,9283,4610,4673,9430,4627,4803,9838,4869,4969,9770,4870,4900
43,43,7294,3606,3688,7457,3690,3767,8191,4033,4158,8071,3967,4104,8546,4211,4335,9356,4598,4758,9270,4586,4684,9431,4612,4819,9843,4857,4986
44,44,6926,3380,3546,7299,3598,3701,7443,3671,3772,8171,4010,4161,8043,3940,4103,8517,4181,4336,9322,4564,4758,9243,4555,4688,9417,4589,4828
45,45,6827,3324,3503,6938,3374,3564,7288,3579,3709,7425,3650,3775,8147,3985,4162,8010,3911,4099,8480,4148,4332,9279,4527,4752,9202,4517,4685
46,46,6895,3374,3521,6846,3320,3526,6936,3360,3576,7276,3558,3718,7408,3627,3781,8122,3958,4164,7976,3881,4095,8440,4114,4326,9228,4485,4743
47,47,6669,3291,3378,6908,3366,3542,6849,3308,3541,6932,3344,3588,7263,3537,3726,7389,3603,3786,8095,3930,4165,7938,3849,4089,8396,4077,4319
48,48,6302,3106,3196,6672,3278,3394,6901,3347,3554,6846,3292,3554,6925,3327,3598,7249,3514,3735,7369,3578,3791,8068,3901,4167,7901,3816,4085
49,49,6294,3094,3200,6305,3093,3212,6658,3255,3403,6889,3325,3564,6840,3275,3565,6914,3307,3607,7232,3490,3742,7350,3553,3797,8039,3870,4169
50,50,5942,2926,3016,6293,3079,3214,6291,3071,3220,6640,3229,3411,6872,3300,3572,6828,3255,3573,6901,3286,3615,7213,3465,3748,7326,3525,3801
51,51,5809,2863,2946,5941,2913,3028,6276,3055,3221,6274,3046,3228,6617,3201,3416,6852,3273,3579,6812,3232,3580,6881,3262,3619,7190,3437,3753
52,52,5393,2543,2850,5807,2849,2958,5922,2887,3035,6252,3026,3226,6250,3017,3233,6592,3170,3422,6827,3244,3583,6790,3205,3585,6856,3233,3623
53,53,5263,2522,2741,5383,2527,2856,5787,2822,2965,5897,2858,3039,6225,2995,3230,6223,2986,3237,6561,3136,3425,6798,3211,3587,6763,3175,3588
54,54,5022,2356,2666,5246,2499,2747,5359,2501,2858,5763,2793,2970,5866,2825,3041,6193,2960,3233,6190,2951,3239,6525,3099,3426,6764,3175,3589
