,age,total_2022,male_2022,female_2022,total_2023,male_2023,female_2023,total_2024,male_2024,female_2024,total_2025,male_2025,female_2025,total_2026,male_2026,female_2026,total_2027,male_2027,female_2027,total_2028,male_2028,female_2028,total_2029,male_2029,female_2029,total_2030,male_2030,female_2030
0,0.0,4664.0,2398.0,2266.0,4653.0,2392.0,2261.0,4608.0,2369.0,2239.0,4609.0,2369.0,2240.0,4581.0,2355.0,2226.0,4547.0,2337.0,2210.0,4522.0,2324.0,2198.0,4527.0,2327.0,2200.0,4546.0,2336.0,2210.0
1,1.0,4716.0,2428.0,2288.0,4675.0,2405.0,2270.0,4661.0,2397.0,2264.0,4615.0,2373.0,2242.0,4615.0,2372.0,2243.0,4587.0,2358.0,2229.0,4552.0,2340.0,2212.0,4527.0,2326.0,2201.0,4533.0,2330.0,2203.0
2,2.0,4764.0,2462.0,2302.0,4744.0,2447.0,2297.0,4697.0,2420.0,2277.0,4677.0,2407.0,2270.0,4627.0,2380.0,2247.0,4626.0,2379.0,2247.0,4595.0,2362.0,2233.0,4561.0,2344.0,2217.0,4535.0,2330.0,2205.0
3,3.0,4905.0,2554.0,2351.0,4814.0,2498.0,2316.0,4786.0,2476.0,2310.0,4730.0,2442.0,2288.0,4703.0,2424.0,2279.0,4647.0,2393.0,2254.0,4642.0,2389.0,2253.0,4609.0,2370.0,2239.0,4572.0,2350.0,2222.0
4,4.0,5123.0,2719.0,2404.0,4968.0,2600.0,2368.0,4874.0,2541.0,2333.0,4837.0,2512.0,2325.0,4772.0,2471.0,2301.0,4737.0,2447.0,2290.0,4675.0,2411.0,2264.0,4666.0,2403.0,2263.0,4628.0,2382.0,2246.0
5,5.0,5753.0,3028.0,2725.0,5188.0,2770.0,2418.0,5033.0,2649.0,2384.0,4936.0,2587.0,2349.0,4897.0,2555.0,2342.0,4827.0,2509.0,2318.0,4782.0,2478.0,2304.0,4713.0,2436.0,2277.0,4695.0,2422.0,2273.0
6,6.0,6024.0,3156.0,2868.0,5825.0,3089.0,2736.0,5251.0,2820.0,2431.0,5097.0,2698.0,2399.0,5002.0,2636.0,2366.0,4960.0,2601.0,2359.0,4885.0,2550.0,2335.0,4836.0,2516.0,2320.0,4759.0,2468.0,2291.0
7,7.0,5364.0,2882.0,2482.0,6115.0,3228.0,2887.0,5901.0,3152.0,2749.0,5320.0,2874.0,2446.0,5165.0,2750.0,2415.0,5071.0,2687.0,2384.0,5027.0,2651.0,2376.0,4949.0,2597.0,2352.0,4897.0,2558.0,2339.0
8,8.0,5423.0,2896.0,2527.0,5522.0,2987.0,2535.0,6225.0,3311.0,2914.0,5994.0,3224.0,2770.0,5399.0,2933.0,2466.0,5239.0,2806.0,2433.0,5141.0,2740.0,2401.0,5097.0,2703.0,2394.0,5018.0,2647.0,2371.0
9,9.0,5638.0,3017.0,2621.0,5602.0,3017.0,2585.0,5698.0,3103.0,2595.0,6354.0,3406.0,2948.0,6102.0,3305.0,2797.0,5488.0,2999.0,2489.0,5319.0,2865.0,2454.0,5219.0,2798.0,2421.0,5173.0,2758.0,2415.0
